标题,评分,品牌,产地,茶类,详情链接,id,荐指数,总评,茶语排行,茶语分类排行,综合评分排行,热搜排行
[维盛茗茶]石乳香（2014）,8.4,维盛茗茶,福建,乌龙>其他,https://chaping.chayu.com/tea/1424,1424,3,这是一款香气独特的乌龙茶，前期带有明显的,1866,270,1177,3425
[八角亭]孔雀之王（2016）,8.4,八角亭,云南,普洱>生茶,https://chaping.chayu.com/tea/2960,2960,3,"一款品质平平的茶，滋味较为清淡。该茶前期香气较丰富，清香带花香，后期则清香为主。汤感较厚实，入口柔滑，带有苦涩，但苦化得快，涩停在口腔的时间略长，回甘生津好。 
",1866,458,1681,1603
[诚信茶庄]武义红茶（2017）,8.4,诚信茶庄,浙江,红茶>其它,https://chaping.chayu.com/tea/4240,4240,3,"表现普通，滋味耐冲泡的红茶。
带明显的红薯气，始终融于茶汤。
滋味鲜爽，甘醇，有清凉感，生津回甘，微涩但不苦，耐泡度较好。
",1866,284,764,1477
[漓江春]烟条桂花红,8.4,漓江春,广西,花茶>其他,https://chaping.chayu.com/tea/1170,1170,3,"一款中等品质的再加工红茶。
茶香与花香融合比较好，花香不持久。滋味柔和偏淡。
",1866,83,2180,3731
[八味草木]白毫银针（2016）,8.4,八味草木,福建,白茶>白毫银针,https://chaping.chayu.com/tea/2450,2450,3,"这是一款做工考究，性价比极高的白毫银针，值得购买。
香气丰富，豆奶香和毫香交织，香气浓爽，持久性一般。汤感柔顺，甜度高，有蜜味融于茶汤，爽口度好。
总体协调性好，耐冲泡度一般。",1866,127,432,2394
[方唐茶集]蒙顶黄芽（2018）,8.4,方唐茶集,四川,黄茶>其他,https://chaping.chayu.com/tea/4498,4498,3,此款茶是产自四川雅安的蒙顶黄芽，属于六大茶类中的黄茶。原料为单芽茶，芽头较瘦，有夹杂一芽一叶初展。干茶色泽偏黄较暗，开汤后叶底也发暗，极大可能是陈茶经过了再烘焙提香处理。香气以栗香为主，较持久；因为单芽茶的缘故，滋味平和欠浓，略带苦味。蒙顶黄芽产量比较低，普遍价位较高，此款茶性价比偏低，且黄茶的风格特征不明显。,1866,92,4138,1741
[澜沧古茶]陈皮普洱（2015）,8.4,澜沧古茶,云南,普洱>熟茶,https://chaping.chayu.com/tea/2195,2195,3,"这款茶，果与熟茶融合得较为协调。但是整体品质较为平庸，无甚亮点。
香气整体较扬，前期以柑橘甜香为主，中后期则转以熟茶香气为主导，带糯香。汤内的果味较明显，果甜带果酸。茶汤浓厚顺滑，有糯感。汤色偏深，是浓浓的红褐色，前四泡汤色不透，五泡转好。不太好的是，头两泡汤内似有灰尘感。
",1866,458,2591,786
[茶农茶舍]荒野牡丹王（2016）,8.4,茶农茶舍,福建,白茶>白牡丹,https://chaping.chayu.com/tea/2451,2451,3,"一款质量上中规中矩，性价比一般的白牡丹。
整体香气带生晒味，豆奶香弱，持久性不佳，甜度高，清爽度不错，略有回甘。
总体协调性较好，耐冲泡度一般。",1866,127,1177,1812
[春伦]特级茉莉白龙珠（2016）,8.4,春伦,福建,花茶>茉莉花茶,https://chaping.chayu.com/tea/3219,3219,3,"一款香气和滋味均较淡雅的茉莉花茶。
外形秀气可爱，讨人喜欢。但其他品质无明显特点，香气属于清雅型，不持久，滋味也较淡。不喜欢浓郁花香和口味清淡者可以考虑购买。
",1866,83,1681,672
[斗记茶业]古韵 白茶（饼）（2015）,8.4,斗记茶业,云南,白茶>其他,https://chaping.chayu.com/tea/2196,2196,3,"甜绵浓郁风格的云南白茶饼，香气和滋味皆甜美夺人。
香气综合，蜜香、果香综合外扬，且能持久留于口中、后期带糯香，花香的变化。
茶汤甜绵浓郁；后期略带涩感，总体比较耐泡。
",1866,127,2938,483
[龙眉]团蕊滇绿（2016）,8.4,龙眉,云南,绿茶>其他,https://chaping.chayu.com/tea/3732,3732,3,这是一款带有明显滇绿特质的绿茶。大叶种绿茶所具有的浓郁香气和滋味尽显无遗，花果香高扬且持久，茶味重苦涩味明显回甘强劲有力生津不断，非常耐泡。由于是2016年的陈年茶，因此在鲜爽度上有所不足。,1866,410,1681,786
[金马牌]醇香柑普茶（2016）,8.4,金马牌,广东,普洱>熟茶,https://chaping.chayu.com/tea/3221,3221,3,"这款柑普口感较好，但是滋味下降较快。
该茶香气融合了有柑皮的酸甜果香和熟普的陈香，整体协调度较好。汤内含香，入口顺滑，滋味爽滑而清甜，饮后有清凉感。但茶汤滋味下降较快，五泡出水味。
",1866,458,2180,1253
[水品元]西湖龙井茶（2017）,8.4,水品元,浙江,袋泡>袋泡茶,https://chaping.chayu.com/tea/3733,3733,3,"一款包装简陋，口感正常的袋泡绿茶。
茶叶香气明显，炒豆香明显，香入茶汤。茶汤较鲜活，滋味甜度高，较顺口，入口略有苦味，化开快，稍有涩感，能快速化开，有回甘生津。
",1866,48,2180,2019
[吉贡]小青柑（2017）,8.4,吉贡,云南,普洱>熟茶,https://chaping.chayu.com/tea/4245,4245,3,"柑壳颜色偏黑，表皮带黄色，熟普外形紧细，有芽头均匀分布其中。
汤色红，前期较浑浊，后期转明亮。
茶汤闻到的喝到的都是比较浓郁的柑果味道；
茶汤滋味浓，一致有不错的甜润感，略微带果酸，舌面持续存在涩、麻感。
柑皮厚，且比较硬，熟普大部分叶片柔软，有一定活性，少量叶片有明显软烂。
",1866,458,1177,439
[良田千顷]有机蜜境（2018）,8.4,良田千顷,云南,黄茶>其他,https://chaping.chayu.com/tea/4501,4501,3,此款茶是销售信息标注是产自云南的黄茶，品饮后认为风格特征更类似轻发酵红茶。原料等级一般，但是揉捻工夫到位，条索较紧细，褐红尚亮，显毫，但是叶底并不匀整。甜香高扬持久，略带红茶发酵不足的青味。滋味平和欠浓，有苦味，整体茶汤偏甜。价位偏高，根据原料等级和制作工艺，性价比较低。,1866,92,4138,1711
[凤山]凤山韵铁观音（2016）,8.4,凤山,福建,乌龙>其他,https://chaping.chayu.com/tea/2968,2968,3,这是一款没有明显缺陷的浓香型铁观音。干茶墨绿欠润，少许黄绿色，卷紧度以及匀整度一般；汤色黄绿较明亮，香气有明显的海苔香气，略带花香，甜香浓郁，整体香气不高且协调度一般；滋味柔和清甜，醇厚度不够，耐泡度一般；叶张呈深绿色，叶缘破碎，叶质较硬。 ,1866,270,1681,2633
[博逸]浓香永春佛手 ,8.4,博逸,福建,乌龙>其他,https://chaping.chayu.com/tea/1177,1177,3,这款,1866,270,3746,3599
[天之养]天之养多酚生态茶（2016）,8.4,天之养,江苏,红茶>其他,https://chaping.chayu.com/tea/2457,2457,3,"这是一款外形漂亮，入口很甜，但内质平平的红茶。
茶叶主导香气为丝丝果香带着甜，冲泡中期茶汤甜度较高，滋味柔顺，回甘生津较好。但是茶汤偏薄，且口感甜得不清爽，香气中的火味明显，导致整体的协调性一般。

",1866,284,1177,4100
[吉普号]昔归（2016）,8.4,吉普号,云南,普洱>其他,https://chaping.chayu.com/tea/2713,2713,3,"这款生茶，香气柔和不张扬，滋味苦涩甜香具有，整体品质较平淡。
花香带着清香，香气不扬但入汤。入口顺而爽口，甜中带苦涩，苦不易化，涩化得较快。生津回甘好，口留香。 ",1866,458,1681,1788
[看山]银芽（2017）,8.4,看山,云南,白茶>其他,https://chaping.chayu.com/tea/3737,3737,3,"这是一款单芽为主、内质略带闷味的白茶。
干茶是闷闷的日晒味；茶汤香气日晒味、隐隐约约的清香，但带有低闷的感觉，不够愉悦；茶汤柔和、甜润但不够鲜爽，有回甘生津、饮后略有干喉。
茶水协调性尚可，耐泡度尚可。
",1866,127,1177,1943
[七缘香]手工茶•铁观音,8.4,七缘香,福建,乌龙>其他,https://chaping.chayu.com/tea/1178,1178,3,传统,1866,270,1681,2994
[雷娇茗源茶行]陈香岁月（2012）,8.4,雷娇茗源茶行,云南,普洱>熟茶,https://chaping.chayu.com/tea/1946,1946,3,"一款滋味比较有特色，但耐泡度欠佳的熟茶。
熟茶的枣香和木香明显，茶汤顺滑稠度好，明显，但微，喉咙微发干，是一款当下便可饮用的熟茶。",1866,458,1681,4245
[凤山]陈年12凤山铁观音（2016）,8.4,凤山,福建,乌龙>其他,https://chaping.chayu.com/tea/2970,2970,3,这是一款工艺正常但汤质偏薄的铁观音。干茶色泽乌褐，条索微曲粗松，紧实度不一；汤色浅黄明亮，火工香稍高，杯盖甜香馥郁；茶汤入口清甜，甜度挺高，但内质较少，茶味很淡，回甘生津不明显；叶底呈棕褐带青色，选料较老。,1866,270,1681,2563
[锦韵堂]正山小种 金枝玉叶,8.4,锦韵堂,福建,红茶>其他,https://chaping.chayu.com/tea/1435,1435,3,一款鲜叶成熟度较高，经过非传统工艺加工而成的红茶，其整体,1866,284,2180,3267
[品定之]白毫银针（2017）,8.4,品定之,福建,白茶>白毫银针,https://chaping.chayu.com/tea/3484,3484,3,这款茶整体滋味均衡。茶芽壮实、披有白毫，香气稍带青气、毫香显，但是香气持久度不高。茶汤较鲜活，滋味清甜，有爽口度，舌面稍有涩感，化开后快速生津，回甘虽慢，但高度持久。,1866,127,1177,3567
[白沙溪]5301芽尖茶（2016）,8.4,白沙溪,湖南,黑茶>其他,https://chaping.chayu.com/tea/2973,2973,3,"这是一款原料选择较嫩、特色较明显，略带高火缺陷的安化黑茶散茶。
香气为浓菌香、清高，略带高火气；
茶汤滋味较淡，有一定厚度，茶汤比较润滑，但后期出现锁喉感。
总体协调性较好，耐泡度好。",1866,94,764,2988
[桂香茗]大明山茶（2017）,8.4,桂香茗,广西,红茶>其他,https://chaping.chayu.com/tea/4253,4253,3,"一款原料较好，内质稍差的红茶
茶叶一芽一叶为主，茶汤香气以甜香为主，略有桂圆干香，稍带青气，茶汤为红糖水香；入口略甜，稍有稠感，滑爽感较差，舌面涩感持久，舌底略有生津，回甘较强。
",1866,284,4015,1799
[郑韵茶]桃仁香,8.4,郑韵茶,广东,乌龙>其他,https://chaping.chayu.com/tea/1440,1440,3,"这是一款香气特点鲜明，但内质略显单薄的清香型凤凰。
该茶香气多样而多变化，奶香、花香、蜜糖香交织，前期是坚果般的奶香浓郁，中间花香幽扬，后期蜜糖香气更凸显。茶汤入口鲜爽，口腔略有留香，显，回甘略弱。但不足在于滋味整体单薄，感较为明显且在口腔停留时间较长。",1866,270,764,1072
[澜沧古茶]荒野沱（2016）,8.4,澜沧古茶,云南,普洱>生茶,https://chaping.chayu.com/tea/2720,2720,3,"这款生普中后期苦涩较显，协调度略低，香气不扬但较舒适。
该茶有淡淡甜果香；滋味较浓，入口甜，有稠感，但涩明显，后期的苦更是明显。不过苦涩能化开，生津持续，喉咙口略有回甘。",1866,458,2180,812
[崂山]崂山红茶（2017）,8.4,崂山,山东,红茶>其他,https://chaping.chayu.com/tea/4001,4001,3,该款茶烘焙用力过猛，烘焙过重，导致香气中烘焙的气息大大超过红茶的香甜，滋味上火味也十分明显且贯穿始终，大大掩盖了红茶的甜润。使得整个品茶的感受显得简单粗暴，令人不想再次回味。,1866,284,1681,1013
[雨林古茶坊]雨林甜·焦糖（2017）,8.4,雨林古茶坊,云南,红茶>其他,https://chaping.chayu.com/tea/4257,4257,3,"焦糖香明显，滋味略酸的红茶。
茶汤带明显的焦糖香和蜜香，容易散失；回味有蜜香，杯底香气不显。
茶汤前期味浓，入口甜润；有轻微酸感和苦感，喝完喉咙略干，耐泡度较差。
",1866,284,1681,1654
[云南和成茶叶有限公司]一级散茶（2008）,8.4,云南和成茶叶有限公司,云南,普洱>熟茶,https://chaping.chayu.com/tea/1955,1955,3,这是一款有一定年份的熟茶散茶，茶叶外形，但金毫不明显，只是茶叶体型整体偏细。香气纯净，带有甜香，滋味稠滑，甜度较好，茶叶耐泡度较好。但是茶叶入口后喉咙略有发干现象。,1866,458,1177,4123
[公和厚]二级宁红茶（2016）,8.4,公和厚,江西,红茶>其他,https://chaping.chayu.com/tea/4003,4003,3,"一款香气和滋味有特点，但不耐泡的红茶。
此款茶的香气表现为蜜甜香和木质香气，香气持久，但不高扬，滋味协调性较好，口感甜顺，有一定浓度，但饮后有苦味，能化开，有涩感较持久，整体茶不耐泡。",1866,284,432,811
[桐木人家]精致大红袍（2016）,8.4,桐木人家,福建,乌龙>其他,https://chaping.chayu.com/tea/2981,2981,3,"这是一款重焙火的大红袍，初试岩茶者可能有点不习惯。
干茶焙火味，带烟味，茶汤香气较为高锐、带有香料的辛；茶汤入口甜润，汤感厚度尚可，滋味浓厚带辛，稍有回甘。
茶水协调性较好，耐泡度尚可。
",1866,270,2180,3073
[茶乐购]雅·牡丹王（2016）,8.4,茶乐购,福建,白茶>其他,https://chaping.chayu.com/tea/3493,3493,3,"选料较好，有一定口感的白牡丹。
此茶选料比较精细，是白牡丹中外形较好的一类，内质上有一定的口感，有一定的厚度，茶汤色泽也是较深的，明亮度较好，香气表现有特点，表现出了陈香和淡淡的薄荷香气。
",1866,127,432,3153
[花秋]浓香型 特级花毛峰,8.4,花秋,四川,花茶>其他,https://chaping.chayu.com/tea/1446,1446,3,"此款花茶原料一般，茉莉花香平和，是一款品质中等的茉莉花茶。
茉莉花香平和，香气较为持久，花香入汤，茶汤滋味较浓、微有苦、化得较快，回甘较好。",1866,83,2591,3843
[晋丰厚]金花茯砖（2017）,8.4,晋丰厚,湖南,黑茶>其他,https://chaping.chayu.com/tea/3750,3750,3,"这是一款金花明显，品质较均衡的黑茶。
干茶金花明显，汤色橙黄清亮；香气较纯正持久，菌香较浓郁；滋味柔和，有一定甜度，有回甘生津。",1866,94,1177,1466
[陈香]6146铁饼圆茶(2012),8.4,陈香,云南,普洱>生茶,https://chaping.chayu.com/tea/936,936,3,"干茶紧实;汤色汤色黄绿，香气，花香，滋味收敛性强，感强，颜色暗黄，较。
",1866,458,3524,3384
[闽景印象] 2012年政和老白茶(2012),8.4,闽景印象,福建,白茶>其他,https://chaping.chayu.com/tea/1704,1704,3,"一款陈化特征不明显，品质中档的白茶。
香气",1866,127,2938,2511
[Taylors of Harrogate]玫瑰红茶（2015）,8.4,Taylors of Harrogate,国外,红茶>其他,https://chaping.chayu.com/tea/1960,1960,3,一款外形不讨喜，内质却十分优秀的玫瑰红茶。外形黑褐色紧实，茶条长短不一，外形并不十分优美。但汤色浅红，亮度佳，玫瑰花香、蜜花香浓郁，茶汤滑，水含香好，甜度明显，回甘持久。,1866,284,1177,465
[谜帝早春]谜帝早春 大树茶（2010）,8.4,谜帝早春,云南,普洱>生茶,https://chaping.chayu.com/tea/1193,1193,3,"一款香气较突出、开始转化的较优质生普。
良好的加工工艺使此款生茶从外形到内质都无明显缺点。香气较浓郁、持久，甜果香明显，带有木香，茶汤较厚，滋味较浓强，回甘明显持久，耐泡度较好。
",1866,458,2180,3742
[下关沱茶]松鹤延年 中国沱（2015）,8.4,下关沱茶,云南,普洱>生茶,https://chaping.chayu.com/tea/1449,1449,3,"一款原料较好，香气不错，待转化的新茶。
水含香较好，回味留香显，杯底烟味一直持续，但比较舒服。
茶汤醇和，水路略粗，明显，协调度稍稍欠缺，耐泡度正常。
",1866,458,1681,564
[泾渭茯茶]经典茯茶（2017）,8.4,泾渭茯茶,陕西,黑茶>其他,https://chaping.chayu.com/tea/3753,3753,3,"这是一款整体品质不错，但汤色略浑浊的黑茶。
茶砖松紧适度，有金花；汤色橙黄，略浑浊；菌花香和蜜甜香浓郁，香气较高较持久；滋味柔和顺滑，生津较明显。",1866,94,1177,1196
[老锺家]福鼎白茶 寿眉饼,8.4,老锺家,福建,白茶>寿眉贡眉,https://chaping.chayu.com/tea/1706,1706,3,"一款原料较老，有一定转化，内质较优的陈年白茶。
香气甜香略显陈香。
整体甜香较明显，但喉度不强。此茶耐泡。
",1866,127,2591,2310
[凤牌]甲级沱茶（2013）,8.4,凤牌,云南,普洱>熟茶,https://chaping.chayu.com/tea/4266,4266,3,"这是一款存放得当的茶。
外形表现欠佳，香气属于正常，没有异杂味，糖香明显且贯穿始终，略带陈香，杯底甜香显。茶汤滋味有微苦感，后期有涩感出现，汤水顺滑、利落，有稠厚感，茶汤滋味表现较好，回甘生津好。
总体协调性较好，耐泡度适中。
",1866,458,432,1604
[老同志]普洱醇（2013）,8.4,老同志,云南,普洱>熟茶,https://chaping.chayu.com/tea/939,939,3,色泽红褐尚,1866,458,2180,1451
[子曰] 柠檬红茶,8.4,子曰,福建,袋泡>其他,https://chaping.chayu.com/tea/1196,1196,3,三角立体包的袋泡柠檬红茶。冲泡方便，适合节凑比较快的年轻一族。香气则以红茶的甜香为主，带有柠檬特有的果,1866,48,4138,2941
[其他]六堡清明茶月饼茶（2016）,8.4,其他,广西,黑茶>其他,https://chaping.chayu.com/tea/2988,2988,3,"这是一款香气与茶汤协调性较好，滋味略欠缺的黑茶。
饼面条索清晰紧结，较油润，香气以木香为主，有一丝烟味，香气能入汤。茶汤浓郁，香气与茶汤融合较好，有较强的刺激感，涩感强烈且化得较慢，有干喉之感。
",1866,94,1177,4227
[鹏龙]石古坪乌龙,8.4,鹏龙,广东,乌龙>其他,https://chaping.chayu.com/tea/941,941,3,条索黑褐偏绿，细紧有光泽。干茶即有香气，汤色蜜黄，明亮度高，特殊而且典型的石古坪乌龙香气扎实的存在于茶汤之中，口腔中的香气几乎吸引对这款茶闻起来和滋味上的吸引力，能够持久存在。唯一的问题是，品饮过程中略有,1866,270,2180,3855
[高马溪]芙蓉茯(2013),8.4,高马溪,湖南,黑茶>其他,https://chaping.chayu.com/tea/2221,2221,3,这款黑茶干茶表面带有金花，金花不茂盛，香气和滋味正常，菌花香和甜香持久，但香气偏淡，滋味甜度好，口留甘甜。,1866,94,1177,626
[帕卡]三级滇红,8.4,帕卡,云南,红茶>滇红,https://chaping.chayu.com/tea/1454,1454,3,一款原料较粗老，,1866,284,3175,2805
[下关沱茶]甲沱-绿盒（2012）（广州仓）,8.4,下关沱茶,云南,普洱>生茶,https://chaping.chayu.com/tea/4014,4014,3,这是一款转化中的、表现一般的常规茶，香气表现要好于茶汤表现。干茶沱形规整，条索深褐绿，尚油润，紧压适中，匀整度一般，有梗、朴；干嗅茶香较诱人，梅子酸甜香明显，开汤后梅子香显，清香蜜香纯正，滋味尚浓醇，入口较饱满，苦感稍明显；汤色深金黄，较明亮；叶底深绿，稍软亮。,1866,458,432,1658
[民品]大红袍（2015）,8.4,民品,福建,乌龙>其他,https://chaping.chayu.com/tea/2224,2224,3,这是一款陈年武夷岩茶，其外形乌黑带红，条索紧结，焙火香明显，带有果香，滋味平和，酸味显。,1866,270,1681,1051
[云妹牌]品味南糯（2008）,8.4,云妹牌,云南,普洱>熟茶,https://chaping.chayu.com/tea/3760,3760,3,"这款熟茶存放干净，口感舒适度好。
茶汤厚度偏薄，但甜润顺滑，汤中的糯甜香和枣甜香较清晰，微涩一直都有，不过能快速化开。口腔清凉感舒服，回甘生津持续。
",1866,458,1681,1494
[Dilmah]伯爵红茶（2017）,8.4,Dilmah,国外,袋泡>国外红茶,https://chaping.chayu.com/tea/4016,4016,3,"一款香气独特，滋味甜顺的袋泡红茶。
茶叶冲泡出水，香甜，并伴有明显较为刺激的佛手柑的香气，茶汤有厚度，滋味甜顺，带有的苦味残留于齿间，涩感能快速化开，饮后生津快速而持久，有回甘。

",1866,48,1681,1730
[峡谷沙龙]有机硒茶,8.4,峡谷沙龙,湖北,绿茶>其他,https://chaping.chayu.com/tea/1713,1713,3,"这是一款原料平淡无奇，但滋味醇爽，香气浓郁，内质十分丰富的产品。
该款产品色泽苍翠砂白，富有光泽，条索细紧卷曲，尚。汤色嫩绿明亮、略浑。香气浓郁，近似于蔗糖的清甜香气显。滋味甘醇清爽，内质丰富，浓强度较高，较为耐泡。",1866,410,2180,3606
[勐傣]勐库古树（2016）,8.4,勐傣,云南,普洱>生茶,https://chaping.chayu.com/tea/2993,2993,3,这款生茶香气浓郁，花蜜香清晰诱人。滋味甜爽顺滑，苦涩虽明显，回甘生津明显持续。不足在于叶底茶叶色泽花杂，红梗、红叶多。,1866,458,764,2393
[秀杆茗]178号(2015),8.4,秀杆茗,福建,乌龙>其他,https://chaping.chayu.com/tea/2226,2226,3,"这是一款有陈年气息的高火功岩茶。
火功香浓烈，伴有桂皮的辛辣气息，茶汤醇厚，刺激性和收敛性尚显，但是饮用后有回甘生津。此款岩茶焙火重，口感浓，所以适合那些口味较重的岩茶老茶客，但是对于刚接触岩茶的人不予推荐。
",1866,270,2591,999
[AHMAD]英国1号红茶（2017）,8.4,AHMAD,国外,袋泡>国外红茶,https://chaping.chayu.com/tea/4018,4018,3,"一款清香淡雅，滋味顺滑似丝绸般的英国红茶。
茶叶香气清淡，佛手干香若隐若现，汤色红浓艳丽；滋味顺滑似丝绸，简单而不单薄，纯净而不失厚重；倾听冬天的寒意中，手捧一杯温暖的心情，乐滋滋。另外，单饮或调饮都应该很不错滴。
",1866,48,764,1876
[龙园号]致远（2016）,8.4,龙园号,云南,普洱>熟茶,https://chaping.chayu.com/tea/2739,2739,3,整体品质较好。干茶黑褐有金毫，汤色枣红明亮，滋味醇厚带甜，回甘生津快且持久。但是香气在前期带有土腥味。,1866,458,1681,3355
[承兴德]特一级霍山黄芽（2017）,8.4,承兴德,安徽,黄茶>霍山黄芽,https://chaping.chayu.com/tea/3507,3507,3,一款滋味鲜活甘甜的黄茶。整体香气火气偏高，炒板栗香明显，较持久。茶汤顺滑，鲜活带甜，有爽口度，入口稍有涩，化开快，饮后口内略有苦味，回味带香，回甘力度较弱。,1866,92,1177,2230
[袍中天]大红袍（2015）,8.4,袍中天,福建,乌龙>其他,https://chaping.chayu.com/tea/2228,2228,3,这是一款陈年岩茶，干茶条索肥壮，茶汤橙红清澈，香气浓郁，陈香明显，且带有熟果香和木质香，整体的香气十分诱人；茶汤醇厚，收敛性较强；叶底茶叶由于焙火次数较多导致无法自然张开。但茶叶的耐泡度不高。这泡陈年岩茶，滋味浓，更适合那些岩茶老茶客。,1866,270,764,759
[张元记]白毫银针（2017）,8.4,张元记,福建,白茶>白毫银针,https://chaping.chayu.com/tea/3764,3764,3,这款白毫银针选料上等，外形优质。青味比较明显，可以进一步存放；毫香明显，花香馥郁，清新淡雅，给人沉静深刻的感觉。滋味甜润，略涩，有“豆浆韵”，回甘明显，但是生涩的青味不讨喜。,1866,127,764,1679
[润思]特级祁红一号（2017）,8.4,润思,安徽,红茶>祁门红茶,https://chaping.chayu.com/tea/4020,4020,3,"一款用料考究，工艺平庸的红茶。
茶叶香气带有突出的花香，有薯甜香；茶汤平淡无味，滋味有甜，刚开始喝带苦，后面涩感越发明显，化开较慢，饮后稍有生津。
",1866,284,764,1919
[凤牌]早春绿茶（2016）,8.4,凤牌,云南,绿茶>其他,https://chaping.chayu.com/tea/3509,3509,3,"一款外形漂亮，滋味欠佳的绿茶。
初看干茶，卖相就十分诱人，茶条纤细，略微弯曲，美观度较高。冲泡出水，茶叶带有板栗香。茶汤清甜，入口顺滑，滋味欠鲜爽度，有回甘生津，但生津不持久，整体汤感较薄。
",1866,410,1177,2343
[新益号]紫丑（2017）,8.4,新益号,云南,普洱>生茶,https://chaping.chayu.com/tea/3765,3765,3,"据官方资料介绍，这款茶是采用紫芽茶原料加工而成，紫芽是云南群体的一种变异，芽头、叶片、茎均为紫色，知名的紫鹃便是在紫芽的基础上培育而来。经测验，紫芽茶加工而成的花青素含量较高，具有一定的保健价值，但是同时苦涩感确是比较重的。所以对于紫芽的口感评价是褒贬不一的。
而这款生茶整体厚度虽一般，但茶汤鲜爽度好、汤中有清甜花香、回甘生津持续，清爽的香气以及口中的清凉感，前期的品饮体验是很好的。但是，随着苦涩的不断增加，茶汤协调感逐渐变差，且加重后的涩感不易化开，将茶汤之前带来的鲜美气息瞬间破坏。",1866,458,2591,4280
[老舍茶馆]茉莉花茶（特级浓香）,8.4,老舍茶馆,福建,花茶>其他,https://chaping.chayu.com/tea/1206,1206,3,这款茉莉花茶，茉莉花香中,1866,83,3746,3545
[武夷山市岩皇茶厂]大红袍（2015）,8.4,武夷山市岩皇茶厂,福建,乌龙>其他,https://chaping.chayu.com/tea/2231,2231,3,这是一款旧年的中足火大红袍，其焙火过高，覆盖了茶汤的香气和滋味，焙火香馥郁持久，果香于第四泡开始出现，汤色由褐红逐渐向红橙转变，明亮，滋味平和较润，酸味较显，尾水期甘甜上升，回甘生津较久。这款茶对于初饮岩茶者较适合。,1866,270,1681,987
[六妙]福鼎白茶老寿眉,8.4,六妙,福建,白茶>寿眉贡眉,https://chaping.chayu.com/tea/952,952,3,干茶叶张较粗大，破张较多，色泽黄褐，长梗较多，,1866,127,2180,609
[下关沱茶]甲沱-绿盒（2012）（云南仓）,8.4,下关沱茶,云南,普洱>生茶,https://chaping.chayu.com/tea/4024,4024,3,这款茶转化正常，干嗅已有淡淡陈香，总体来说是一款比较适饮的口粮茶。干茶沱形规整，条索褐绿欠润，紧压适中，匀整度稍差，茶梗明显；干嗅茶香怡人，热嗅略有陈香，清香依然清晰，有蜜甜香，滋味清醇，口感欠浓，入口甘甜；汤色橙黄，较明亮；叶底较软亮，有红梗。,1866,458,1177,1649
[巴渠云雾]巴渠毛尖（2017）,8.4,巴渠云雾,重庆,绿茶>其他,https://chaping.chayu.com/tea/3513,3513,3,"一款外形不错，香气不清爽，内质平庸的绿茶。
初看干茶，卖相较为诱人，茶条纤细，美观度高。冲泡出水，浓浓的烟香味，让人感觉不爽。茶汤清甜，较为鲜爽，涩感明显，回甘生津弱。耐泡度正常。
",1866,410,1681,2076
[新益号]大白芽（2017）,8.4,新益号,云南,普洱>生茶,https://chaping.chayu.com/tea/3769,3769,3,"一款整体外形、汤色和香气还算比较不错的生普紧压茶，松紧适度，适合做口粮茶。
初期香气轻嗅有淡淡的花香，整体为花香和果香的转化，但香气不是很稳定，后期香气较低。茶汤入口顺滑，饮后香气保留的时间比较长，饮后喉咙处回甘明显且持久，水中带香，回甘主要集中在舌面及舌两侧，后期舌面略涩，化开较慢。",1866,458,432,1140
[陈李济]柑普茶（2016）,8.4,陈李济,广东,普洱>熟茶,https://chaping.chayu.com/tea/3002,3002,3,这款柑普茶品质普通。柑皮的香气明显，茶香不显，柑皮的香微盖过熟普本身的甜香。整体的汤质偏薄，茶汤入口甜润，尚绵滑，回甘生津持久，饮用后口腔清凉。,1866,458,2180,1998
[重茶集团]定心（2018）,8.4,重茶集团,重庆,绿茶>其他,https://chaping.chayu.com/tea/4538,4538,3,"虽然选料等级高，但是同时有生青和高火缺陷的茶。
这款绿茶全芽，扁平，挺直，色泽黄绿明亮，缺点是不鲜活，有因水汽过多，烘干时留下的爆点。开汤后内质汤色浅黄绿明亮，香气清鲜，有生味，带高火味。滋味生味重，略涩，不耐泡。",1866,410,4386,2699
[中茶]白茶白牡丹2014,8.4,中茶,福建,白茶>其他,https://chaping.chayu.com/tea/1467,1467,3,"一款选料不高，但存放较干净，转化较好的白茶。
香气为比较素净的花果香气，在口腔中留存时间比较长。
滋味比较甜",1866,127,2938,3925
[岁月知味]易武早春（2014）,8.4,岁月知味,云南,普洱>生茶,https://chaping.chayu.com/tea/956,956,3,"干茶：色泽黄褐，表面显淡金茶毫，松紧适度。
汤色：橙黄较明亮。
香气：烟火、味后以豆香、蜜甜香为主。
滋味：醇厚甘冽，感明显，化开较慢。
：黄绿，多长梗茎，较。",1866,458,2180,2042
[云元谷]瀧涵（2016）,8.4,云元谷,云南,普洱>熟茶,https://chaping.chayu.com/tea/2493,2493,3,"这是一款简单易懂的熟茶。
干茶等级不算低，颜色红褐有光泽，带有金色嫩芽头。茶汤的适口性好，汤水甘甜，入口稠滑，但茶汤厚度偏薄。枣甜香清晰，整体香气不扬，冲泡初期有新熟茶的堆味。整个口感容易捕捉。",1866,458,2180,513
